Time(s),Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular Momentum X (dps),Angular Momentum Y (dps),Angular Momentum Z (dps)
0.052100,0.013428,0.998901,-0.121704,-0.392914,0.000000,0.381470
0.052247,0.014526,0.999390,-0.120850,1.564026,-1.579285,-2.292633
0.052394,0.013550,0.998413,-0.116699,-1.174927,0.785828,0.381470
0.052541,0.019043,0.996338,-0.118896,-1.174927,-1.186371,0.762939
0.052687,0.020386,0.993896,-0.121704,0.782013,-1.186371,-2.292633
0.052834,0.015869,0.997070,-0.118652,0.392914,1.968384,-0.385284
0.052981,0.013794,1.000854,-0.120850,0.392914,1.182556,1.525879
0.053128,0.020386,0.998779,-0.122192,0.000000,-3.944397,-2.292633
0.053275,0.016479,1.000854,-0.120605,0.392914,0.785828,0.381470
0.053422,0.009888,1.004883,-0.118530,-1.174927,1.182556,0.000000
0.053569,0.011475,1.001221,-0.117432,0.782013,-1.186371,0.381470
0.053716,0.010376,0.995850,-0.114990,-2.738953,-1.186371,-1.529694
0.053863,0.016235,0.993408,-0.116089,2.349854,0.785828,0.000000
0.054010,0.014893,0.997681,-0.119141,-0.782013,0.785828,-1.529694
